,Titles,Platform,Format,Playing Status,Owned Status,hltbTitle,hltbURL,titleMatch
95,Devil May Cry 4,PS3,CD,Beaten,Own,,,
96,Rainbow Six Vegas 2,PS3,CD,Beaten,Own,,,
97,Uncharted: Drake's Fortune,PS3,CD,Complete,Own,,,
98,Uncharted 2: Among Thieves,PS3,CD,Complete,Own,,,
99,Resident Evil 6,PS3,CD,Beaten,Own,,,
100,Metal Gear Solid 2,PS3,CD,Beaten,Own,,,
101,Metal Gear Solid 3 Snake Eater,PS3,CD,Beaten,Own,,,
102,Metal Gear Solid Peace Walker,PS3,CD,Beaten,Own,,,
103,Final Fantasy XIII-2,PS3,CD,Not Played,Own,,,
104,Mortal Kombat,PS3,CD,Beaten,Own,,,
105,Call of Duty Modern Warfare 2,PS3,CD,Beaten,Own,,,
106,Ninja Gaiden Sigma,PS3,CD,Played,Own,,,
107,God of War Saga,PS3,CD,Played,Own,,,
108,The Orange Box,PS3,CD,Not Played,Own,,,
109,Tiger Woods,PS3,CD,Played,Own,,,
110,UFC Undisputed 2010,PS3,CD,Not Played,Own,,,
111,Gran Turismo 5,PS3,CD,Played,Own,,,
112,Assassin's Creed 3,PS3,CD,Not Played,Own,,,
113,Midnight Club Los Angeles,PS3,CD,Played,Own,,,
114,Tom Clancy's Ghost Recon Future Soldier,PS3,CD,Not Played,Own,,,
115,Ni No Kuni Wraith of the White Witch,PS3,CD,Not Played,Own,,,
116,The Elder Scrolls Oblivion,PS3,CD,Played,Own,,,
117,Red Dead Redemption,PS3,CD,Complete,Own,,,
118,Final Fantasy XIII,PS3,CD,Beaten,Own,,,
119,forma.8,PS4/PS Vita,Digital,Not Played,Own,,,
120,Folklore,PS3,CD,Not Played,Own,,,
121,Killzone: Trilogy,PS3,CD,Played,Own,,,
122,The Legend of Zelda Majora's Mask,3DS,Cartridge,Not Played,Own,,,
123,Monster Hunter 4 Ultimate,3DS,Cartridge,Not Played,Own,,,
124,Pokemon Omega Ruby,3DS,Cartridge,Not Played,Own,,,
125,Animal Crossing New Leaf,3DS,Cartridge,Played,Own,,,
126,Super Smash Bros,3DS,Cartridge,Not Played,Own,,,
127,Pokemon Y,3DS,Cartridge,Played,Own,,,
128,Fire Emblem Awakening,3DS,Cartridge,Beaten,Own,,,
129,Pokemon Platinum,3DS,Cartridge,Not Played,Own,,,
130,Resident Evil Revelations,3DS,Cartridge,Not Played,Own,,,
131,The Legend of Zelda Ocarina of Time,3DS,Cartridge,Complete,Own,,,
132,Pokemon White,3DS,Cartridge,Not Played,Own,,,
133,Pokemon White 2,3DS,Cartridge,Not Played,Own,,,
134,Mario Kart 7,3DS,Cartridge,Played,Own,,,
135,Starfox 64,3DS,Cartridge,Not Played,Own,,,
136,Kingdom Hearts 3D,3DS,Cartridge,Not Played,Own,,,
137,Super Street Fighter IV,3DS,Cartridge,Played,Own,,,
138,The Legend of Zelda A Link Between Worlds,3DS,Cartridge,Not Played,Own,,,
139,Kid Icarus Uprising,3DS,Cartridge,Not Played,Own,,,
140,Pokemon Soul Silver,3DS,Cartridge,Played,Own,,,
141,Mass Effect 3,PC,DVD,Not Played,Own,,,
142,Rocksmith 2014,PC,DVD,Played,Own,,,
143,Diablo 3,PC,DVD,Played,Own,,,
144,Starcraft 2,PC,DVD,Not Played,Own,,,
145,Beyond Good & Evil,PC,Uplay,Not Played,Own,,,
146,Rayman Origins,PC,Uplay,Not Played,Own,,,
147,The Crew,PC,Uplay,Not Played,Own,,,
148,Tom Clancy's Splinter Cell Blacklist,PC,Uplay,Not Played,Own,,,
149,Tom Clancy's The Division,PC,Uplay,Played,Own,,,
150,Actual Sunlight,PS3/PS Vita,Digital,Not Played,Own,,,
151,Code: Realize,PS3/PS Vita,Digital,Not Played,Own,,,
152,Mad Riders,PS3,Digital,Not Played,Own,,,
153,Furi,PS4,Digital,Not Played,Own,,,
154,Futuridium EP Deluxe,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
155,Galak-Z,PS4,Digital,Not Played,Own,,,
156,Game of Thrones: Telltale Adventure,PS4,Digital,Not Played,Own,,,
157,Gauntlet,PS4,Digital,Not Played,Own,,,
158,Prince of Persia: The Forgotten Sands,PS3,Digital,Not Played,Own,,,
159,Amnesia: Memories,PS3/PS Vita,Digital,Not Played,Own,,,
160,ibb & obb,PS3,Digital,Not Played,Own,,,
161,Yakuza 5,PS3,Digital,Not Played,Own,,,
162,Stealth Inc: A Clone in the Dark,PS3/PS Vita,Digital,Not Played,Own,,,
163,Lone Survivor: The Director's Cut,PS3/PS Vita,Digital,Not Played,Own,,,
