,Titles,Platform,Format,Playing Status,Owned Status,hltbTitle,hltbURL,titleMatch
409,Borderlands,PS3,Digital,Beaten,Own,,,
410,Wild Arms,PS3/PS Vita,Digital,Not Played,Own,,,
411,MotorStorm RC,PS3/PS Vita,Digital,Beaten,Own,,,
412,Twisted Metal Black,PS3,Digital,Not Played,Own,,,
413,Warhawk,PS3,Digital,Not Played,Own,,,
414,Battlefield 4,PC,Origin,Played,Own,,,
415,Battlefield 3,PC,Origin,Played,Own,,,
416,Bejeweled 3,PC,Origin,Not Played,Own,,,
417,Command & Conquer: Red Alert 2,PC,Origin,Not Played,Own,,,
418,Command & Conquer: Generals,PC,Origin,Not Played,Own,,,
419,Dead Space 2,PC,Origin,Not Played,Own,,,
420,Dead Space 3,PC,Origin,Not Played,Own,,,
421,Dragon Age II,PC,Origin,Not Played,Own,,,
422,Dungeon Keeper,PC,Origin,Not Played,Own,,,
423,Jade Empire,PC,Origin,Not Played,Own,,,
424,Mass Effect 2,PC,Origin,Beaten,Own,,,
425,Medal of Honor Allied Assault,PC,Origin,Not Played,Own,,,
426,Medal of Honor Pacific Assault,PC,Origin,Not Played,Own,,,
427,Need for Speed Most Wanted,PC,Origin,Not Played,Own,,,
428,Nox,PC,Origin,Not Played,Own,,,
429,Peggle,PC,Origin,Not Played,Own,,,
430,Plants vs Zombies Garden Warfare,PC,Origin,Not Played,Own,,,
431,Populous,PC,Origin,Not Played,Own,,,
432,Sim City 2000,PC,Origin,Not Played,Own,,,
433,Syndicate,PC,Origin,Not Played,Own,,,
434,The Sims 3,PC,Origin,Not Played,Own,,,
435,Titanfall,PC,Origin,Played,Own,,,
436,Pagan Ultima VIII,PC,Origin,Not Played,Own,,,
437,Wing Commander III,PC,Origin,Not Played,Own,,,
438,Alan Wake,PC,Steam,Not Played,Own,,,
439,Alan Wake's American Nightmare,PC,Steam,Not Played,Own,,,
440,ARMA 2,PC,Steam,Not Played,Own,,,
441,Back to the Future,PC,Steam,Not Played,Own,,,
442,Batman: Arkham Asylum,PC,Steam,Beaten,Own,,,
443,Batman: Arkham City,PC,Steam,Beaten,Own,,,
444,Binary Domain,PC,Steam,Not Played,Own,,,
445,Burnout Paradise,PC,Steam,Not Played,Own,,,
446,Command & Conquer: Red Alert 3,PC,Steam,Played,Own,,,
447,Company of Heroes,PC,Steam,Played,Own,,,
448,Company of Heroes 2,PC,Steam,Played,Own,,,
449,Condemned: Criminal Origins,PC,Steam,Not Played,Own,,,
450,Counter-Strike,PC,Steam,Played,Own,,,
451,Crysis 2 Maximum Edition,PC,Steam,Not Played,Own,,,
452,Dark Souls: Prepare to Die Edition,PC,Steam,Not Played,Own,,,
453,Dark Souls 2: Scholar of the First Sin,PC,Steam,Not Played,Own,,,
454,Darksiders,PC,Steam,Not Played,Own,,,
455,Day of Defeat,PC,Steam,Not Played,Own,,,
456,Deathmatch Classic,PC,Steam,Not Played,Own,,,
457,Deus Ex: Game of the Year Edition,PC,Steam,Not Played,Own,,,
458,Deus Ex: Invisible War,PC,Steam,Not Played,Own,,,
459,F.E.A.R,PC,Steam,Beaten,Own,,,
460,F.E.A.R Extraction Point,PC,Steam,Not Played,Own,,,
461,F.E.A.R Perseus Mandate,PC,Steam,Not Played,Own,,,
462,F.E.A.R 2: Project Origin,PC,Steam,Not Played,Own,,,
463,F.E.A.R 3,PC,Steam,Not Played,Own,,,
464,Grand Theft Auto IV,PC,Steam,Beaten,Own,,,
465,Grand Theft Auto: Episodes from Liberty City,PC,Steam,Not Played,Own,,,
466,Guardians of Middle-Earth,PC,Steam,Not Played,Own,,,
467,Half-Life,PC,Steam,Beaten,Own,,,
468,Half-Life 2,PC,Steam,Beaten,Own,,,
469,Hector,PC,Steam,Not Played,Own,,,
470,Left 4 Dead,PC,Steam,Played,Own,,,
471,Left 4 Dead 2,PC,Steam,Played,Own,,,
472,The Lord of the Rings: War in the North,PC,Steam,Not Played,Own,,,
473,Medal of Honor,PC,Steam,Not Played,Own,,,
474,Metro 2033,PC,Steam,Beaten,Own,,,
475,Mirror's Edge,PC,Steam,Not Played,Own,,,
476,Mortal Kombat Kollection,PC,Steam,Not Played,Own,,,
477,Need for Speed: Hot Pursuit,PC,Steam,Not Played,Own,,,
478,Poker Night at the Inventory,PC,Steam,Not Played,Own,,,
479,Puzzle Agent,PC,Steam,Not Played,Own,,,
480,Puzzle Agent 2,PC,Steam,Not Played,Own,,,
481,Red Faction: Armageddon,PC,Steam,Not Played,Own,,,
482,Red Orchestra 2: Heroes of Stalingrad,PC,Steam,Not Played,Own,,,
483,Renegade Ops,PC,Steam,Not Played,Own,,,
484,Ricochet,PC,Steam,Not Played,Own,,,
485,Rising Storm/Red Orchestra 2,PC,Steam,Not Played,Own,,,
486,S.T.A.L.K.E.R.: Call of Pripyat,PC,Steam,Not Played,Own,,,
487,S.T.A.L.K.E.R.: Clear Sky,PC,Steam,Not Played,Own,,,
488,S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,Steam,Not Played,Own,,,
489,Saints Row: The Third,PC,Steam,Not Played,Own,,,
490,Sam & Max,PC,Steam,Not Played,Own,,,
491,Scribblenauts Ulimited,PC,Steam,Not Played,Own,,,
492,SEGA Mega Drive & Genesis Classics,PC,Steam,Not Played,Own,,,
493,Sniper Elite V2,PC,Steam,Not Played,Own,,,
494,Team Fortress Classic,PC,Steam,Not Played,Own,,,
495,Titan Quest,PC,Steam,Not Played,Own,,,
496,Viking: Battle for Asgard,PC,Steam,Not Played,Own,,,
497,The Walking Dead: Season 1,PC,Steam,Beaten,Own,,,
498,Wallace & Gromit,PC,Steam,Not Played,Own,,,
499,"Warhammer 40,000: Dawn of War",PC,Steam,Not Played,Own,,,
500,"Warhammer 40,000: Dawn of War II",PC,Steam,Not Played,Own,,,
501,Red Faction: Guerrilla,PC,Downloaded,Not Played,Own,,,
502,Rage,PC,Downloaded,Not Played,Own,,,
503,Max Payne 3,PC,Downloaded,Not Played,Own,,,
504,Mafia II,PC,Downloaded,Not Played,Own,,,
505,LA Noire,PC,Downloaded,Not Played,Own,,,
506,Hitman: Absolution,PC,Downloaded,Beaten,Own,,,
507,Far Cry 3,PC,Downloaded,Beaten,Own,,,
508,Empire Total War,PC,Downloaded,Not Played,Own,,,
509,Dirt 3,PC,Downloaded,Not Played,Own,,,
510,Crysis,PC,Downloaded,Complete,Own,,,
511,World in Conflict,PC,Downloaded,Not Played,Own,,,
512,The Witcher 2 Enhanced Edition,PC,Downloaded,Not Played,Own,,,
513,The Suffering,PC,Downloaded,Not Played,Own,,,
514,Brothers in Arms Hells Highway,PC,Downloaded,Played,Own,,,
515,Assassin's Creed,PC,Downloaded,Not Played,Own,,,
516,Assassin's Creed Revelations,PC,Downloaded,Not Played,Own,,,
517,Assassin's Creed Brotherhood,PC,Downloaded,Not Played,Own,,,
518,Assassin's Creed 2,PC,Downloaded,Not Played,Own,,,
519,Wolverine,PC,Downloaded,Not Played,Own,,,
520,Total War Shogun 2,PC,Downloaded,Not Played,Own,,,
521,Zero Escape Zero Time Dilemma,PC,Downloaded,Not Played,Own,,,
522,Dragon Age Inquisition,PC,Downloaded,Not Played,Own,,,
523,SOMA,PC,Downloaded,Not Played,Own,,,
524,The Witcher 3 Wild Hunt Game of the Year Edition,PC,Downloaded,Not Played,Own,,,
525,INSIDE,PC,Downloaded,Not Played,Own,,,
526,Valkyria Chronicles,PC,Downloaded,Not Played,Own,,,
527,Final Fantasy XIII-3 Lightning Returns,PC,Downloaded,Not Played,Own,,,
528,Final Fantasy X X-2 HD Remaster,PC,Downloaded,Played,Own,,,
529,Fallout 4,PC,Downloaded,Not Played,Own,,,
530,Project CARS,PC,Downloaded,Not Played,Own,,,
531,Far Cry 4,PC,Downloaded,Not Played,Own,,,
532,Ryse - Son of Rome,PC,Downloaded,Not Played,Own,,,
533,Divinity - Original Sin,PC,Downloaded,Not Played,Own,,,
534,Child of Light,PC,Downloaded,Not Played,Own,,,
535,The Wolf Among Us,PC,Downloaded,Not Played,Own,,,
536,The Vanishing of Ethan Carter,PC,Downloaded,Not Played,Own,,,
537,Alien Isolation,PC,Downloaded,Not Played,Own,,,
538,Middle-Earth Shadow of Mordor,PC,Downloaded,Not Played,Own,,,
539,The Evil Within,PC,Downloaded,Not Played,Own,,,
540,Wasteland 2,PC,Downloaded,Not Played,Own,,,
541,State of Decay,PC,Downloaded,Not Played,Own,,,
542,Final Fantasy III,PC,Downloaded,Not Played,Own,,,
543,BioShock Infinite Burial at Sea Episode 2,PC,Downloaded,Not Played,Own,,,
544,BioShock Infinite Burial at Sea Episode 1,PC,Downloaded,Not Played,Own,,,
545,Metal Gear Rising Revengeance,PC,Downloaded,Not Played,Own,,,
546,Total War Rome 2,PC,Downloaded,Not Played,Own,,,
547,Enslaved Odyssey to the West Premium Edition,PC,Downloaded,Complete,Own,,,
548,Rocksmith 2014,PC,Downloaded,Not Played,Own,,,
549,Assassin's Creed 4 Black Flag Deluxe Edition,PC,Downloaded,Not Played,Own,,,
550,Sid Meiers Civilization V,PC,Downloaded,Not Played,Own,,,
551,Resident Evil Revelations,PC,Downloaded,Not Played,Own,,,
552,Mass Effect,PC,Downloaded,Beaten,Own,,,
553,BlackMesa,PC,Downloaded,Not Played,Own,,,
554,Fallout New Vegas - Ultimate Edition,PC,Steam,Not Played,Own,,,
555,Fallout 3 - Game of the Year Edition,PC,Downloaded,Played,Own,,,
556,Dishonored,PC,Downloaded,Not Played,Own,,,
557,Star Wars Knights of the Old Republic,PC,Downloaded,Not Played,Own,,,
558,AGE OF EMPIRES III,PC,Downloaded,Not Played,Own,,,
559,BioShock Infinite,PC,Downloaded,Complete,Own,,,
560,Crysis 3,PC,Downloaded,Not Played,Own,,,
561,The Elder Scrolls V Skyrim,PC,Downloaded,Played,Own,,,
562,The Darkness II,PC,Downloaded,Not Played,Own,,,
563,Shift 2 Unleashed,PC,Downloaded,Not Played,Own,,,
564,The Elder Scrolls V Skyrim Dragonborn,PC,Downloaded,Not Played,Own,,,
565,The Witcher,PC,Downloaded,Not Played,Own,,,
566,From Dust,PS3,Digital,Not Played,Own,,,
567,Secret Ponchos,PS4,Digital,Not Played,Own,,,
568,Saint Seiya Soldiers' Soul,PS3,Digital,Not Played,Own,,,
569,Costume Quest 2,PS3,Digital,Not Played,Own,,,
570,Shutshimi,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
571,Dirt 3,PS3,Digital,Not Played,Own,,,
572,Skulls of the Shogun,PS4,Digital,Not Played,Own,,,
573,Sky Force Anniversary,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
574,Sound Shapes,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
575,Sparkle Unleashed,PS4,Digital,Not Played,Own,,,
576,Spelunky,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
577,Resident Evil 4,PS2,DVD,Beaten,Own,,,
578,The Thing,PS2,DVD,Not Played,Own,,,
579,Resident Evil Outbreak,PS2,DVD,Not Played,Own,,,
580,Resident Evil Outbreak 2,PS2,DVD,Not Played,Own,,,
581,Resident Evil Code Veronica,PS2,DVD,Not Played,Own,,,
582,Kingdom Hearts II,PS2,DVD,Not Played,Own,,,
583,Kingdom Hearts,PS2,DVD,Beaten,Own,,,
584,IHRA Drag Racing 2,PS2,DVD,Not Played,Own,,,
585,Grand Theft Auto San Andreas,PS2,DVD,Completed,Own,,,
586,Gran Turismo 4,PS2,DVD,Not Played,Own,,,
587,Final Fantasy XII,PS2,DVD,Not Played,Own,,,
588,Final Fantasy X,PS2,DVD,Not Played,Own,,,
589,Dragon Quest VIII,PS2,DVD,Not Played,Own,,,
590,Dragon Ball Z Budokai 3,PS2,DVD,Beaten,Own,,,
591,Devil May Cry,PS2,DVD,Completed,Own,,,
592,Devil May Cry 3 Dante's Awakening,PS2,DVD,Completed,Own,,,
593,Crash Bandicoot,PS1,CD,Completed,Own,,,
594,Final Fantasy Chronicles,PS1,CD,Not Played,Own,,,
595,Chrono Cross,PS1,CD,Not Played,Own,,,
596,Dino Crisis,PS1,CD,Completed,Own,,,
597,Dino Crisis 2,PS1,CD,Completed,Own,,,
598,Final Fantasy VII,PS1,CD,Completed,Own,,,
599,Final Fantasy VIII,PS1,CD,Completed,Own,,,
600,Final Fantasy IX,PS1,CD,Completed,Own,,,
601,Grand Theft Auto,PS1,CD,Not Played,Own,,,
602,Grand Theft Auto 2,PS1,CD,Not Played,Own,,,
603,Gran Turismo 2,PS1,CD,Completed,Own,,,
604,Jet Moto,PS1,CD,Not Played,Own,,,
605,The Legend of Dragoon,PS1,CD,Not Played,Own,,,
606,Metal Gear Solid VR Missions,PS1,CD,Not Played,Own,,,
607,Metal Gear Solid,PS1,CD,Completed,Own,,,
608,The Need For Speed,PS1,CD,Not Played,Own,,,
609,Need for Speed High Stakes,PS1,CD,Not Played,Own,,,
610,Resident Evil Director's Cut,PS1,CD,Completed,Own,,,
611,Resident Evil 2,PS1,CD,Completed,Own,,,
612,Resident Evil 3 Nemesis,PS1,CD,Completed,Own,,,
613,Tenchu Stealth Assassins,PS1,CD,Not Played,Own,,,
614,Tomb Raider,PS1,CD,Not Played,Own,,,
615,Tony Hawk's Pro Skater,PS1,CD,Completed,Own,,,
616,Tony Hawk's Pro Skater 2,PS1,CD,Completed,Own,,,
617,Twisted Metal,PS1,CD,Completed,Own,,,
618,Twisted Metal 2,PS1,CD,Completed,Own,,,
619,Spy Chameleon,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
620,Stealth Inc 2: A Game of Clones,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
621,SteamWorld Dig,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
622,BlazeRush,PS3,Digital,Not Played,Own,,,
623,Stick it to The Man,PS4,Digital,Not Played,Own,,,
624,Stories: The Path of Destinies,PS4,Digital,Not Played,Own,,,
625,Strider,PS4,Digital,Not Played,Own,,,
626,VVVVVV,PS3/PS Vita,Digital,Not Played,Own,,,
627,Strike Vector EX,PS4,Digital,Not Played,Own,,,
628,Styx: Master of Shadows,PS4,Digital,Not Played,Own,,,
629,Super Exploding Zoo!,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
630,Super Meat Boy!,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
631,XCOM 2,PC,Digital,Not Played,Own,,,
632,"Oh, Deer",PC,Humble Bundle,Not Played,Own,,,
633,X-COM: UFO Defense,PC,Steam,Not Played,Own,,,
634,ABZU,PC,Steam,Not Played,Own,,,
635,Husk,PC,Steam,Not Played,Own,,,
636,Okhlos,PC,Steam,Not Played,Own,,,
637,Project Highrise,PC,Steam,Not Played,Own,,,
638,Ryse: Son of Rome,PC,Steam,Not Played,Own,,,
639,Steamworld Heist,PC,Steam,Not Played,Own,,,
640,Super Motherload,PS4/PS3,Digital,Not Played,Own,,,
641,Super Time Force Ultra,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
642,Switch Galaxy Ultra,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
643,Table Top Racing: World Tour,PS4,Digital,Not Played,Own,,,
644,Tales from the Borderlands,PS4,Digital,Not Played,Own,,,
645,Teslagrad,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
646,Alien Rage,PS3,Digital,Not Played,Own,,,
647,Invizimals: The Lost Kingdom,PS3,Digital,Not Played,Own,,,
648,That's You,PS4,Digital,Not Played,Own,,,
649,The Binding of Isaac: Rebirth,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
650,The Deadly Tower of Monsters,PS4,Digital,Not Played,Own,,,
651,The Last of Us,PS4,Blu Ray,Complete,Own,,,
652,Blood Knights,PS3,Digital,Not Played,Own,,,
653,Port Royale 3 Pirates & Merchants,PS3,Digital,Not Played,Own,,,
654,The Order,PS4,Blu Ray,Complete,Sold,,,
655,The Swapper,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
656,Abyss Odyssey,PS3,Digital,Not Played,Own,,,
657,The Swindle,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
658,The Unfinished Swan,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
659,WRC 5 FIA World Rally Championship,PS3,Digital,Not Played,Own,,,
660,The Walking Dead: Season 2,PS4,Digital,Complete,Own,,,
661,This War of Mine: The Little Ones,PS4,Digital,Not Played,Own,,,
662,TOKYO JUNGLE,PS3,Digital,Not Played,Own,,,
663,Darkstalkers Resurrection,PS3,Digital,Not Played,Own,,,
664,Thomas Was Alone,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
665,Element4l,PS Vita,Digital,Not Played,Own,,,
666,Strider,PC,Digital,Not Played,Own,,,
667,Umbrella Corps,PC,Digital,Not Played,Own,,,
668,DMC: Devil May Cry,PC,Digital,Not Played,Own,,,
669,Dead Rising 2: Off the Record,PC,Digital,Not Played,Own,,,
670,Resident Evil HD REMASTER,PC,Digital,Not Played,Own,,,
671,Resident Evil 0 HD REMASTER,PC,Digital,Not Played,Own,,,
672,Resident Evil 6,PC,Digital,Not Played,Own,,,
673,Dead Rising 2,PC,Digital,Not Played,Own,,,
674,Dead Rising 3 - Apocalypse Edition,PC,Digital,Not Played,Own,,,
675,Tiny Troopers Joint Ops,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
676,Titan Attacks!,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
677,Titan Souls,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
678,Tower of Guns,PS4/PS3,Digital,Not Played,Own,,,
679,Snakeball,PS3,Digital,Not Played,Own,,,
680,Level 22,PS Vita,Digital,Not Played,Own,,,
681,TowerFall Ascension,PS4,Digital,Not Played,Own,,,
682,Transformers Devastation,PS4,Digital,Not Played,Own,,,
683,Transistor,PS4,Digital,Not Played,Own,,,
684,Tricky Towers,PS4,Digital,Not Played,Own,,,
685,Truck Racer,PS3,Digital,Not Played,Own,,,
686,Handball 16,PS3,Digital,Not Played,Own,,,
687,Trine 2: Complete Story,PS4,Digital,Not Played,Own,,,
688,Tropico 5,PS4,Digital,Not Played,Own,,,
689,Type:Rider,PS4/PS Vita,Digital,Not Played,Own,,,
690,Ultratron,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
691,Monster Jam Battlegrounds,PS3,Digital,Not Played,Own,,,
692,Hustle Kings,PS3,Digital,Not Played,Own,,,
693,Sid Meiers Civilization Revolution 2 Plus,PS3/PS Vita,Digital,Not Played,Own,,,
694,The Bureau: XCOM Declassified,PS3,Digital,Not Played,Own,,,
695,XCOM: Enemy Unknown Plus,PS3/PS Vita,Digital,Not Played,Own,,,
696,Mafia II,PS3,Digital,Not Played,Own,,,
697,XCOM: Enemy Within,PS3,Digital,Not Played,Own,,,
698,Bioshock,PS3,Digital,Not Played,Own,,,
699,Unmechanical: Extended,PS4/PS3,Digital,Not Played,Own,,,
700,UNTIL DAWN,PS4,Digital,Beaten,Own,,,
701,Sid Meier's Civilization III: Complete,PC,Steam,Not Played,Own,,,
702,Broken Sword 5,PS Vita,Digital,Not Played,Own,,,
703,Until Dawn: Rush of Blood,PS4,Digital,Not Played,Own,,,
704,R-Type Dimensions,PS3,Digital,Not Played,Own,,,
705,Valiant Hearts: The Great War,PS4,Digital,Not Played,Own,,,
706,Warframe,PS4,Digital,Not Played,Own,,,
707,WE ARE DOOMED,PS4,Digital,Not Played,Own,,,
708,Worms Battlegrounds,PS4,Digital,Not Played,Own,,,
709,Xeodrifter,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
710,ZOMBI,PS4,Digital,Not Played,Own,,,
711,Syberia Collection,PS3,Digital,Not Played,Own,,,
712,XBlaze Lost: Memories,PS3,Digital,Not Played,Own,,,
713,Wanted Corp.,PS Vita,Digital,Not Played,Own,,,
714,Oxenfree,PC,GOG,Not Played,Own,,,
715,Deadlight: Director's Cut,PC,GOG,Not Played,Own,,,
716,Neverwinter Nights Diamond,PC,GOG,Not Played,Own,,,
717,Torchlight,PC,GOG,Not Played,Own,,,
718,Fallout Classic,PC,GOG,Not Played,Own,,,
719,Fallout 2 Classic,PC,GOG,Not Played,Own,,,
720,Fallout Tactics Classic,PC,GOG,Not Played,Own,,,
721,Beneath a Steel Sky,PC,GOG,Not Played,Own,,,
722,Tyrian 2000,PC,GOG,Not Played,Own,,,
723,Dragonsphere,PC,GOG,Not Played,Own,,,
724,Ultima 4: Quest of the Avatar,PC,GOG,Not Played,Own,,,
725,Treasure Adventure Game,PC,GOG,Not Played,Own,,,
726,Worlds of Ultima: The Savage Empire,PC,GOG,Not Played,Own,,,
727,Warsow,PC,GOG,Not Played,Own,,,
728,Onimusha 3: Demon Siege,PS2,ISO,Not Played,Own,,,
729,Phantasy Start Portable 2,PSP,ISO,Not Played,Own,,,
730,Castlevania The Dracula X Chronicles,PSP,ISO,Not Played,Own,,,
731,Dead to Rights,PSP,ISO,Not Played,Own,,,
732,Final Fantasy IV,PSP,ISO,Not Played,Own,,,
733,Final Fantasy Crisis Core,PSP,ISO,Not Played,Own,,,
734,Final Fantasy Dissidia,PSP,ISO,Not Played,Own,,,
735,Final Fantasy Dissidia 2,PSP,ISO,Not Played,Own,,,
736,Final Fantasy Tactics The War of the Lion,PSP,ISO,Not Played,Own,,,
737,GTA Chinatown Wars,PSP,ISO,Not Played,Own,,,
738,Hot Shots Golf Open Tee 2,PSP,ISO,Not Played,Own,,,
739,Killzone Liberation,PSP,ISO,Not Played,Own,,,
740,Kingdom Hearts Birth by Sleep,PSP,ISO,Not Played,Own,,,
741,Parasite Eve The 3rd Birthday,PSP,ISO,Not Played,Own,,,
742,Silent Hill Origins,PSP,ISO,Not Played,Own,,,
743,Star Ocean First Departure,PSP,ISO,Not Played,Own,,,
744,Star Ocean Second Evolution,PSP,ISO,Not Played,Own,,,
745,Syphon Filter Dark Mirror,PSP,ISO,Not Played,Own,,,
746,Tactics Ogre,PSP,ISO,Not Played,Own,,,
747,Tenchu 4 Shadow Assassins,PSP,ISO,Not Played,Own,,,
748,Valkyria Chronicles 2,PSP,ISO,Not Played,Own,,,
749,Syphon Filter Logans Shadow,PSP,ISO,Not Played,Own,,,
750,Parasite Eve 2,PS1,ISO,Not Played,Own,,,
751,Xenogears,PS1,ISO,Not Played,Own,,,
752,"9 Hours, 9 Persons, 9 Doors",DS,ISO,Not Played,Own,,,
753,Chrono Trigger,DS,ISO,Not Played,Own,,,
754,Final Fantasy IV,DS,ISO,Not Played,Own,,,
